📺央视频道,#genre#
CCTV-1,http://free.cnlive.club/channel/65b36335.m3u8
CCTV-2,http://free.cnlive.club/channel/65b5b8f5.m3u8
CCTV-3,http://free.cnlive.club/channel/65b47a65.m3u8
CCTV-4,http://free.cnlive.club/channel/n4a5d2858.m3u8
CCTV-5,http://free.cnlive.club/channel/65af9be4.m3u8
CCTV-5+,http://free.cnlive.club/channel/nef8dac1.m3u8
CCTV-6,http://free.cnlive.club/channel/65b48560.m3u8
CCTV-7,http://free.cnlive.club/channel/n408755f8.m3u8
CCTV-8,http://free.cnlive.club/channel/50fdc854.m3u8
CCTV-9,http://free.cnlive.club/channel/65b89b46.m3u8
CCTV-10,http://free.cnlive.club/channel/4ee90a2f.m3u8
CCTV-11,http://free.cnlive.club/channel/4ee69fa9.m3u8
CCTV-12,http://free.cnlive.club/channel/3bac7728.m3u8
CCTV-13,http://free.cnlive.club/channel/4ee827ef.m3u8
CCTV-14,http://free.cnlive.club/channel/4ee72d51.m3u8
CCTV-15,http://free.cnlive.club/channel/4eeedf1f.m3u8
CCTV-16,http://free.cnlive.club/channel/34622605.m3u8
CCTV-17,http://free.cnlive.club/channel/322d3cd3.m3u8

📡卫视频道,#genre#
广东卫视,http://free.cnlive.club/channel/530cf649.m3u8
浙江卫视,http://free.cnlive.club/channel/5a3edab2.m3u8
湖南卫视,http://free.cnlive.club/channel/5a53e58d.m3u8
北京卫视,http://free.cnlive.club/channel/4ddfb741.m3u8
湖北卫视,http://free.cnlive.club/channel/5a52f54d.m3u8
东方卫视,http://free.cnlive.club/channel/4bf2a9e9.m3u8
东南卫视,http://free.cnlive.club/channel/4bada807.m3u8
广西卫视,http://free.cnlive.club/channel/53ebe4ec.m3u8
江苏卫视,http://free.cnlive.club/channel/5a21705c.m3u8
四川卫视,http://free.cnlive.club/channel/4fcef3ee.m3u8
深圳卫视,http://free.cnlive.club/channel/5a3478ee.m3u8

☘️广东频道,#genre#
广东珠江,http://free.cnlive.club/channel/n6e47401d.m3u8
广东体育,http://free.cnlive.club/channel/n2afd3461.m3u8
广东卫视,http://free.cnlive.club/channel/530cf649.m3u8
大湾区卫视,http://free.cnlive.club/channel/684d0497.m3u8
深圳卫视,http://free.cnlive.club/channel/5a3478ee.m3u8
汕头综合,http://free.cnlive.club/channel/n2483dc12.m3u8
汕头经济,http://free.cnlive.club/channel/7e5a2477.m3u8
